LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2020-03-25 07:00:58,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:00:58,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:00:58,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:00:58,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:00:59,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:00:59,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:00:59,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-62, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:00:59,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:00:59,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:00:59,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:00:59,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:00:59,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:00:59,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:00:59,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:00,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:00,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:00,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:00,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:00,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:00,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:00,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:00,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:00,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:00,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:01,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-55, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-32,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:01,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:01,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-29,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:01,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-30,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-30,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-48,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-33,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-33,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-33,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-32,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-32,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-32,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-33,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-32,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-48,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-34,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-25, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-32,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-33,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-33,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-32,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-26, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:02,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-32,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:03,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:03,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:03,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:03,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:03,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:03,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:03,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:03,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:03,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:03,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:04,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:04,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:04,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:04,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-30,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:04,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:04,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:04,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:04,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:04,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:04,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-27, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:04,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:04,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:04,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:04,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:04,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:05,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:05,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-28, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:05,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:05,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:05,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:05,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:05,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:05,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:05,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:05,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-33, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-31, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-33, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-33, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-31, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-31, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-32,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:06,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-32,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:06,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:06,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-47,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:06,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-33, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-31, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-31, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:06,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:06,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:06,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:06,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-29,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:07,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:07,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:07,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:07,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:07,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:07,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:07,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-31, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:07,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:07,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:07,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-33, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:08,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:08,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:08,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:08,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-34,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:08,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-33,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:08,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-32,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:08,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-34,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:08,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-48,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:08,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-31, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:08,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:08,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:08,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-31, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:08,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:08,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:08,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:08,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-49,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:08,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-31, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:08,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:08,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:08,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-31, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:09,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:09,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:09,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:09,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:09,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:09,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:09,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-33,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:09,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-32,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:09,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-32,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:09,1900-01-00 00:00:00,,84:B5:41:53:C2:34,-31,,0.000000,0.000000,0.000,0.000,Client
2020-03-25 07:01:09,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:09,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-29, WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:01:09,1900-01-00 00:00:00,Seguridad2019-WPA,58:A2:B5:D8:BA:79,-30, WPA ,0.000000,0.000000,0.000,0.000,AP
